condition,task,task_length,DP,ACT,SmolVLA,X-VLA,Pi0.5,GR00T,FastWAM,unit
Speed-OOD,CM006,short,50,20,0,2,0,18,2,percent_0_to_100
Speed-OOD,CM007,long,0,0,0,0,0,0,0,percent_0_to_100
Speed-OOD,CM008,long,34,48,0,42,26,36,0,percent_0_to_100
Speed-OOD,CM009,long,14,0,2,0,0,0,0,percent_0_to_100
Speed-OOD,FC000,short,0,0,0,0,0,0,0,percent_0_to_100
Speed-OOD,FC001,short,2,0,0,0,0,0,4,percent_0_to_100
Speed-OOD,FC002,short,0,0,0,0,0,0,0,percent_0_to_100
Speed-OOD,FC003,short,38,98,48,100,32,8,2,percent_0_to_100
Speed-OOD,FC004,long,78,30,80,100,18,80,0,percent_0_to_100
Speed-OOD,FC005,short,0,0,0,2,2,10,0,percent_0_to_100
Speed-OOD,FC006,long,0,14,0,22,4,18,0,percent_0_to_100
Speed-OOD,FC007,short,0,0,50,4,6,24,0,percent_0_to_100
Speed-OOD,FC008,long,0,0,0,0,0,0,0,percent_0_to_100
Speed-OOD,FC009,short,0,0,0,0,0,0,0,percent_0_to_100
Speed-OOD,HRI000,short,0,56,0,32,2,14,0,percent_0_to_100
Speed-OOD,HRI001,short,0,0,46,24,4,0,0,percent_0_to_100
Speed-OOD,HRI002,short,0,8,4,20,16,0,0,percent_0_to_100
Speed-OOD,HRI003,long,0,0,0,0,0,0,0,percent_0_to_100
Speed-OOD,HRI004,long,40,44,14,36,24,0,22,percent_0_to_100
Speed-OOD,HRI005,long,0,0,4,0,4,0,0,percent_0_to_100
Speed-OOD,HRI006,short,4,70,10,64,8,24,0,percent_0_to_100
Speed-OOD,HRI007,long,14,78,20,46,22,32,12,percent_0_to_100
Speed-OOD,HRI008,short,0,0,0,0,0,0,0,percent_0_to_100
Speed-OOD,HRI009,long,38,30,22,44,6,34,2,percent_0_to_100
Speed-OOD,HT000,long,0,0,0,0,0,0,0,percent_0_to_100
Speed-OOD,HT001,short,0,40,0,26,8,12,0,percent_0_to_100
Speed-OOD,HT002,short,0,38,0,4,0,0,0,percent_0_to_100
Speed-OOD,HT003,short,0,0,4,0,0,2,0,percent_0_to_100
Speed-OOD,HT004,short,4,10,26,32,4,0,0,percent_0_to_100
Speed-OOD,HT005,long,0,0,0,0,0,0,0,percent_0_to_100
Speed-OOD,HT006,long,0,18,0,0,0,0,0,percent_0_to_100
Speed-OOD,HT007,short,0,0,0,0,0,0,0,percent_0_to_100
Speed-OOD,HT008,long,0,0,0,0,0,0,0,percent_0_to_100
Speed-OOD,HT009,long,0,0,0,0,0,0,0,percent_0_to_100
Joint-OOD,CM000,short,0,0,0,0,0,0,0,percent_0_to_100
Joint-OOD,CM001,short,0,2,0,22,0,0,0,percent_0_to_100
Joint-OOD,CM002,short,0,2,0,0,2,0,0,percent_0_to_100
Joint-OOD,CM003,short,0,0,0,6,0,2,0,percent_0_to_100
Joint-OOD,CM004,short,0,0,0,0,0,0,0,percent_0_to_100
Joint-OOD,CM005,long,0,0,0,0,0,0,0,percent_0_to_100
Joint-OOD,CM006,short,0,0,0,0,0,6,0,percent_0_to_100
Joint-OOD,CM007,long,0,0,0,0,0,0,0,percent_0_to_100
Joint-OOD,CM008,long,0,0,0,0,0,0,0,percent_0_to_100
Joint-OOD,CM009,long,0,0,0,0,0,0,0,percent_0_to_100
Joint-OOD,FC000,short,0,0,0,0,0,0,0,percent_0_to_100
Joint-OOD,FC001,short,0,0,0,0,0,0,0,percent_0_to_100
Joint-OOD,FC002,short,0,0,0,0,0,0,0,percent_0_to_100
Joint-OOD,FC003,short,0,0,0,50,0,44,0,percent_0_to_100
Joint-OOD,FC004,long,0,0,0,16,0,20,0,percent_0_to_100
Joint-OOD,FC005,short,0,0,4,16,0,4,0,percent_0_to_100
Joint-OOD,FC006,long,0,0,0,0,0,4,0,percent_0_to_100
Joint-OOD,FC007,short,0,0,2,0,2,2,0,percent_0_to_100
Joint-OOD,FC008,long,0,0,0,0,0,0,0,percent_0_to_100
Joint-OOD,FC009,short,0,0,0,0,0,0,0,percent_0_to_100
Joint-OOD,HRI000,short,0,0,0,0,2,24,0,percent_0_to_100
Joint-OOD,HRI001,short,0,0,0,2,0,0,0,percent_0_to_100
Joint-OOD,HRI002,short,0,0,2,10,4,0,0,percent_0_to_100
Joint-OOD,HRI003,long,0,0,0,0,0,0,0,percent_0_to_100
Joint-OOD,HRI004,long,0,0,10,10,16,0,0,percent_0_to_100
Joint-OOD,HRI005,long,0,0,0,8,2,0,0,percent_0_to_100
Joint-OOD,HRI006,short,0,0,10,38,0,16,0,percent_0_to_100
Joint-OOD,HRI007,long,0,0,0,6,14,34,0,percent_0_to_100
Joint-OOD,HRI008,short,0,0,0,0,0,0,0,percent_0_to_100
Joint-OOD,HRI009,long,0,0,0,0,0,0,0,percent_0_to_100
Joint-OOD,HT000,long,0,0,0,0,0,0,0,percent_0_to_100
Joint-OOD,HT001,short,0,0,38,26,4,24,0,percent_0_to_100
Joint-OOD,HT002,short,0,0,4,22,14,30,0,percent_0_to_100
Joint-OOD,HT003,short,0,0,12,2,6,2,0,percent_0_to_100
Joint-OOD,HT004,short,0,0,0,0,0,0,0,percent_0_to_100
Joint-OOD,HT005,long,0,0,0,0,0,0,0,percent_0_to_100
Joint-OOD,HT006,long,0,0,0,0,0,0,0,percent_0_to_100
Joint-OOD,HT007,short,0,0,0,0,0,0,0,percent_0_to_100
Joint-OOD,HT008,long,0,0,0,0,0,0,0,percent_0_to_100
Joint-OOD,HT009,long,0,0,0,0,0,0,0,percent_0_to_100
